Name,Genus,Species,Kingdom,Subphylum,Class,Order,Family,Attributes
Spot-breasted thornbird,Phacellodomus,Phacellodomus maculipectus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Visayan pygmy babbler,Dasycrotapha,Dasycrotapha pygmaea,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Wallacean cuckooshrike,Coracina,Coracina personata,Animalia,0,Aves,Passeriformes,Campephagidae,"Terrestrial,Not a migrant,starts with"
Yungas tody-tyrant,Hemitriccus,Hemitriccus spodiops,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Rufescent antshrike,Thamnistes,Thamnistes rufescens,Animalia,0,Aves,Passeriformes,Thamnophilidae,starts with
Black-capped becard,Pachyramphus,Pachyramphus marginatus,Animalia,0,Aves,Passeriformes,Tityridae,"Terrestrial,Not a migrant,starts with"
Grey-bellied shrike-tyrant,Agriornis,Agriornis micropterus,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Migrating,starts with"
Grey-hooded white-eye,Heleia,Heleia pinaiae,Animalia,0,Aves,Passeriformes,Zosteropidae,"Terrestrial,Not a migrant,starts with"
Henna-hooded foliage-gleaner,Clibanornis,Clibanornis erythrocephalus,Animalia,0,Aves,Passeriformes,Furnariidae,"Terrestrial,Not a migrant,starts with"
Olive-faced flatbill,Tolmomyias,Tolmomyias viridiceps,Animalia,0,Aves,Passeriformes,Tyrannidae,"Terrestrial,Not a migrant,starts with"
Spillmann's tapaculo,Scytalopus,Scytalopus spillmanni,Animalia,0,Aves,Passeriformes,Rhinocryptidae,"Terrestrial,Not a migrant,starts with"
Stub-tailed antbird,Sipia,Sipia berlepschi,Animalia,0,Aves,Passeriformes,Thamnophilidae,"Terrestrial,Not a migrant,starts with"
White-browed brushfinch,Arremon,Arremon torquatus,Animalia,0,Aves,Passeriformes,Passerellidae,"Terrestrial,Not a migrant,starts with"
Papuan scrubwren,Sericornis,Aethomyias papuensis,Animalia,0,Aves,Passeriformes,Acanthizidae,"Terrestrial,Not a migrant,starts with"
